City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,ipira,-12.1583,-39.7372,21.63,91,77,5.45,BR,1670192323
217,kungurtug,50.5994,97.5228,-26.03,94,100,0.73,RU,1670192324
218,victoria,22.2855,114.1577,18.47,77,100,8.05,HK,1670191926
219,gamba,-2.65,10.0,24.97,89,100,2.49,GA,1670192324
220,georgetown,5.4112,100.3354,26.8,90,20,3.6,MY,1670192325
221,manali,13.1667,80.2667,28.05,77,18,3.79,IN,1670192325
222,port lincoln,-34.7333,135.8667,15.78,65,100,7.45,AU,1670192140
223,mathathane,-22.2687,28.7495,26.85,52,1,6.02,BW,1670192326
224,sembakung,3.8167,117.25,22.2,99,54,0.7,ID,1670192326
225,lahij,13.1667,44.5833,20.83,84,42,1.48,YE,1670192326
226,deputatskiy,69.3,139.9,-26.64,97,100,1.52,RU,1670192327
227,san borja,-14.8167,-66.85,32.22,41,58,2.02,BO,1670192327
228,huttwil,47.115,7.8621,2.6,95,69,1.77,CH,1670192328
229,koungou,-12.7336,45.2042,26.84,78,20,3.09,YT,1670192328
230,amboasary,-25.0333,46.3833,24.06,77,99,1.5,MG,1670192329
231,fayaoue,-20.65,166.5333,25.21,88,100,5.32,NC,1670192329
232,saint-joseph,-21.3667,55.6167,22.21,82,71,3.56,RE,1670192330
233,lisakovsk,52.5369,62.4936,-11.67,96,100,2.03,KZ,1670192330
234,kavaratti,10.5669,72.642,27.08,79,90,3.06,IN,1670192331
235,belmonte,-15.8631,-38.8828,23.56,84,100,4.52,BR,1670192331
236,sambava,-14.2667,50.1667,23.59,87,77,3.08,MG,1670192331
237,igarka,67.4667,86.5833,-4.48,92,100,6.76,RU,1670192332
238,richards bay,-28.783,32.0377,22.16,90,100,3.51,ZA,1670192332
239,tual,-5.6667,132.75,27.89,73,96,0.52,ID,1670192333
240,noumea,-22.2763,166.4572,29.99,99,100,0.98,NC,1670192254
241,ambovombe,-25.1667,46.0833,23.73,81,99,1.54,MG,1670192334
242,praia da vitoria,38.7333,-27.0667,15.14,77,20,4.46,PT,1670192334
243,antofagasta,-23.65,-70.4,18.6,68,7,2.2,CL,1670192164
244,bubaque,11.2833,-15.8333,26.81,66,96,5.55,GW,1670192335
245,porto santo,33.072,-16.3415,17.21,72,20,8.23,PT,1670192335
246,jalu,29.0331,21.5482,16.17,50,5,4.3,LY,1670192335
247,sibiti,-3.6819,13.3499,20.92,93,97,0.32,CG,1670192336
248,nuuk,64.1835,-51.7216,-0.07,74,100,12.96,GL,1670192336
249,mahesana,23.6,72.4,16.31,34,0,2.86,IN,1670192337
250,taltal,-25.4,-70.4833,19.85,66,23,2.05,CL,1670192337
251,torbay,47.6666,-52.7314,2.54,87,75,10.8,CA,1670192338
252,clemson,34.6834,-82.8374,13.02,83,40,0.0,US,1670192172
253,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1670192339
254,geraldton,-28.7667,114.6,18.23,88,6,4.12,AU,1670192339
255,nsanje,-16.92,35.262,25.77,69,0,2.33,MW,1670192340
256,cochrane,51.1834,-114.4687,-2.65,54,75,2.06,CA,1670191873
257,jiaojiang,28.6803,121.4428,8.33,90,100,6.7,CN,1670192340
258,saint-pierre,-21.3393,55.4781,22.82,68,20,2.06,RE,1670192341
259,rio bueno,-40.3167,-72.9667,20.08,44,61,3.12,CL,1670192341
260,sefophe,-22.1833,27.9667,25.93,51,19,4.73,BW,1670192342
261,indian head,38.6001,-77.1622,7.36,52,0,1.54,US,1670192342
262,imbituba,-28.24,-48.6703,22.79,98,94,3.53,BR,1670192342
263,thinadhoo,0.5333,72.9333,27.48,73,100,3.7,MV,1670191881
264,berlevag,70.8578,29.0864,-5.03,80,20,5.66,NO,1670192343
265,astoria,46.1879,-123.8313,4.96,75,75,5.14,US,1670192325
266,toowoomba,-27.55,151.9667,19.58,71,1,0.89,AU,1670192344
267,comodoro rivadavia,-45.8667,-67.5,22.92,25,20,7.72,AR,1670192344
268,cuiluan,47.72,128.648,-23.29,98,22,2.12,CN,1670192344
